EntrezGeneID,control.1,control.2,control.3,control.4,control.5,case.1,case.2,case.3,case.4,case.5
4647,3.3404285,3.481696,3.53976375,3.7193625,3.4570055,3.3294275,3.424097,3.4873705,3.485109,3.5756535
4648,2.8319475,3.011504,3.085413,3.0506775,3.1389295,3.0437395,3.0654105,3.244457,3.175144,2.7833185
4649,6.408587,6.808853,7.497615,5.927825,6.15601,6.330742,6.28154,6.806626,6.79059,5.669795
4650,4.189837667,3.583991333,4.134049667,3.759752,4.106082333,3.877302333,3.755860333,3.916654,5.250561333,3.691545
4651,7.875907,6.499699,5.6576595,6.797048,7.262394,7.228208,7.031633,6.276405,7.2739895,5.2186905
4653,2.837623,3.25175,3.315604,2.99004,3.290299,3.172773,3.184752,3.18383,3.149123,2.953888
4654,3.920832,3.869293,3.840335,4.397442,4.128282,4.307461,4.260971,3.989922,3.938974,3.561383
4656,3.570295,3.392953,3.354655,3.232963,3.19634,3.160485,3.413682,3.842914,3.255077,3.125017
4659,6.697028333,6.8158,6.675417667,6.956229,6.08451,6.899953,6.925979667,6.153459667,6.394185,5.888764333
466,7.469413,7.271008,7.209549,7.18231,7.562012,7.778647,6.693547,6.189792,6.784297,7.237123
4660,4.350822,5.0029465,4.0787525,4.110644,4.1144595,5.08167,4.4479125,4.110681,4.051199,3.675643
4661,2.985349,3.1483935,3.1326955,3.034853,3.1617915,3.16663,3.1799245,3.182899,3.1014365,3.2022745
4664,5.369456667,5.09179,4.701467667,6.620879333,5.481333667,4.929254333,5.894318333,4.874467333,4.729056,6.434411333
4665,4.641034,4.542452,5.066222,4.4962895,4.991656,4.515616,5.1430855,4.7464005,4.906715,4.466678
4666,9.652908,9.677187,10.47516733,9.578109333,10.264421,10.35565467,10.43394567,10.104775,10.59358933,9.009055333
4668,5.415029,5.630286,5.826187,6.2854785,5.889009,5.5812865,5.3171055,5.7223315,5.668844,6.1049975
4669,3.6582445,3.7490705,4.0418485,4.001133,4.2225665,3.6680395,3.770497,3.72679,3.808236,3.889118
467,7.389072,7.981036,6.207759,9.511607,5.499467,6.967958,8.690692,8.965047,7.633643,6.996056
4670,5.6932425,5.5375125,5.4774365,5.388642,5.278878,5.421356,5.5092145,5.428261,4.7751805,5.587413
4671,3.859492,4.63937,5.3277565,4.4081055,5.570803,4.7312165,4.6892845,5.5569835,4.812548,3.9248585
4673,9.109786167,9.712376,8.499779833,9.763231333,8.6252845,9.319524833,8.766505,9.353879167,9.5761535,8.320726167
4674,3.60452,3.145026,2.699084,3.15905,3.058393,3.039931,2.854071,2.881282,2.694244,3.027644
4675,5.983122,5.582508,3.528343,4.103769,3.28344,4.328032,3.498063,3.547203,3.277315,3.598143
4676,6.46048,6.302156,7.810434,6.755576,6.717565,6.428487,7.046645,6.723599,6.866802,6.397804
4677,10.600139,9.723925,9.849534,10.365051,10.17617,10.61729,10.309279,10.008498,10.63308,9.585295
4678,7.7889275,6.089756,6.404181,6.0347045,7.108099,5.2578895,7.5944075,5.2050535,5.8512575,6.8936585
468,9.624826,9.621975,9.6975,10.555644,9.588405,10.193472,8.82897,9.971147,10.052347,9.615279
4680,3.9139715,5.9096555,7.103709,3.917377,5.4675095,3.540725,4.017357,7.060463,4.389104,4.7666155
4681,7.0873995,7.937156,6.447225,8.027157,6.183664,8.229831,6.562844,7.5477045,6.3366025,5.268884
4682,5.83847,5.982338,6.737121,5.837274,6.704483,5.562258,5.795991,5.649521,6.116421,8.443856
4683,6.64270775,7.07012475,8.181895,7.828883,6.74637175,6.47510875,7.282077,7.34594325,8.15123375,6.5023045
4684,4.01624875,4.62779625,3.39161775,3.75671225,4.1682565,4.30887875,3.687841,4.450497,3.499466,3.798531
4685,3.479375,3.137958,2.918959,2.848841,3.128427,3.332263,3.075531,3.200721,2.862043,3.115675
4686,3.8691055,3.4777475,3.36248,3.656113,3.2792605,3.7668485,3.9162895,3.7357355,3.1775465,3.932292
4688,4.014274,3.375333,4.142721,4.052954,4.536418,3.5647,3.131837,3.170861,4.085841,4.736018
4689,3.0838985,3.3240385,3.710908,3.776117,3.9870365,3.4170725,3.3255795,3.2515585,3.3552,4.183819
4690,6.54618,6.854576,6.78804,6.15629,7.915171,6.7286765,7.529338,7.3955485,7.5967325,9.0995455
4691,10.106121,10.367979,9.766794,10.55507,10.199592,10.289844,10.105039,10.388468,10.17205,10.322494
4692,4.280319,6.963832,4.151014,6.656284,4.215523,5.785972,4.608211,4.442762,3.941443,7.894359
4693,2.862586,4.959398,3.390506,3.236352,4.293545,2.680767,3.144291,4.584483,2.642546,7.883056
4694,10.278191,10.374254,11.053694,10.215688,10.443439,10.172662,9.984267,10.512933,10.864661,10.914534
4695,5.721634,6.2677585,6.632635,6.320505,6.42477,6.5759215,6.4574205,6.445112,6.734458,7.0206615
4696,9.584648,9.331465,9.055652,9.94102,9.101019,9.068454,9.676866,9.438637,9.50712,9.858845
4697,10.821794,10.666575,10.377407,10.101542,10.283012,10.823186,10.234604,10.255238,9.67477,11.078114
4698,6.288042,5.817707,5.896078,6.246189,5.792716,6.436016,6.093209,5.5372315,6.137635,5.990389
47,5.801074333,5.794189333,5.364807333,6.33258,6.108042333,6.163733,6.296794333,5.851258333,5.614422,7.383739667
4700,8.1186025,8.3791785,8.0624865,7.924339,7.6878675,8.1369685,7.812418,8.6950995,7.1246475,8.6037625
4701,8.10429,7.389608,8.712928,8.417694,7.619601,7.613351,8.681727,7.599612,8.16771,7.981333
4702,9.750104,8.360183,8.291675,8.325635,7.186196,9.55884,9.146479,8.807886,8.650109,8.672792
4703,3.232178,3.7069715,3.714692,3.391891,3.367973,3.1186515,3.229198,3.3569435,3.2207115,3.0943405
4704,8.989753,9.295061,8.236021,9.549308,9.568381,8.21429,8.518875,9.207581,8.649361,10.475979
4705,8.137199,7.978606,7.895113,8.124414,8.467008,8.5624,7.855117,8.676121,7.734316,8.551196
4706,9.391141,10.06085,9.775691,9.986453,9.753694,10.319871,9.852048,10.12704,9.042601,10.655425
4707,10.246601,9.879348,10.024421,9.939303,9.699936,9.98482,10.003843,9.446387,10.357456,11.103143
4708,10.4582125,10.3465405,9.914171,10.1880955,9.3619835,10.4429355,10.088703,10.1820445,9.5578655,10.825371
4709,9.937174,9.438689,8.341476,9.233175,9.059367,9.108096,8.894989,9.623626,7.968521,9.862134
471,8.620761,8.233504,7.7295,8.090869,8.496953,8.316689,8.085888,8.416718,7.652143,9.241118
4710,10.663812,10.547131,11.171309,11.048122,10.822222,10.786333,10.491332,10.824624,10.790399,11.471959
4711,10.286068,9.782307,10.188205,10.194915,10.285898,10.573232,9.572074,10.961744,9.997173,11.364587
4712,9.319165,9.33036,8.961287,9.028231,8.313133,9.033505,8.895214,8.860252,8.271376,10.075024
4713,5.902109,5.566871,5.966216,5.570998,5.73664,5.64161,5.767349,5.6649035,5.921717,6.675052
4714,6.653754,7.116131,7.555015,7.429412667,6.850738333,7.119313,6.818941,6.823228667,7.899528333,8.039029
4717,10.808225,9.728613,9.898712,11.050348,9.941229,10.239304,10.447038,10.356568,10.761812,10.754134
4718,9.575265,10.343032,10.303524,10.074736,10.336204,10.007583,9.466073,10.066398,9.674938,11.004538
4719,8.341133,7.576793,6.935114,7.815368,7.430744,7.581003,7.329004,8.350021,6.695046,8.216977
472,4.371053667,4.940573,4.978294667,4.948382667,5.476433333,4.849237,4.937657333,4.928573333,5.189327,3.654673
